liked,duration_ms,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo
False,224720,0.496,0.639,6,-6.157,1,0.28,0.0,0.0975,0.305,147.764
True,195859,0.707,0.642,1,-5.93,1,0.0491,0.0,0.184,0.373,96.021
False,147840,0.733,0.859,9,-5.03,0,0.479,0.0645,0.105,0.52,124.948
True,209800,0.811,0.687,4,-6.013,0,0.142,9.45e-06,0.0482,0.535,93.388
True,157693,0.777,0.604,8,-5.813,1,0.765,6.79e-05,0.11,0.672,99.934
False,150753,0.484,0.711,8,-3.848,1,0.263,0.0,0.104,0.515,102.05
True,192172,0.765,0.704,5,-4.589,0,0.0215,0.0,0.227,0.498,147.055
True,217653,0.591,0.702,7,-5.59,1,0.225,0.0,0.414,0.501,104.003
True,161882,0.711,0.682,9,-5.073,0,0.151,0.0,0.0669,0.466,89.015
True,323454,0.432,0.206,6,-9.318,0,0.792,0.593,0.475,0.158,72.477
True,223920,0.705,0.831,4,-4.861,0,0.2,0.0,0.778,0.636,94.012
True,202315,0.745,0.673,8,-5.91,0,0.662,0.0,0.18,0.525,122.851
True,248000,0.649,0.698,6,-7.455,1,0.0212,1.32e-06,0.107,0.529,87.976
True,207133,0.562,0.682,0,-5.883,1,0.0281,4.5e-05,0.125,0.385,174.071
True,221379,0.639,0.859,9,-2.758,0,0.135,0.0,0.129,0.566,93.132
True,243533,0.764,0.672,1,-5.007,1,0.0133,9.76e-05,0.197,0.779,127.969
True,231400,0.918,0.609,10,-5.64,0,0.0928,0.0,0.139,0.304,128.008
True,170624,0.798,0.668,11,-5.712,0,0.13,0.0,0.0695,0.537,99.895
True,266840,0.851,0.525,2,-5.221,0,0.421,0.0,0.111,0.405,97.988
True,183000,0.795,0.496,0,-5.883,1,0.108,0.0,0.0645,0.874,94.01
False,190427,0.571,0.629,10,-7.792,0,0.192,0.0,0.0916,0.6,131.954
True,228760,0.861,0.603,8,-5.788,0,0.0521,0.0,0.0924,0.504,98.043
True,176618,0.881,0.697,0,-5.613,1,0.129,1.39e-06,0.0834,0.434,97.012
True,185227,0.672,0.47,8,-7.511,1,0.221,0.0,0.139,0.38,98.929
True,260298,0.561,0.602,11,-7.455,0,0.287,0.0,0.256,0.637,153.795
False,197280,0.575,0.845,10,-3.838,1,0.0282,0.0,0.0814,0.376,127.997
False,165868,0.71,0.646,7,-5.018,1,0.237,0.0,0.403,0.773,93.011
True,254040,0.447,0.259,7,-15.388,1,0.424,0.000685,0.0955,0.342,124.597
True,186653,0.464,0.464,9,-7.027,0,0.609,0.0,0.106,0.335,180.235
True,192900,0.729,0.651,3,-6.444,0,0.31,2.46e-05,0.124,0.361,95.948
True,212000,0.737,0.802,7,-6.407,1,0.00352,3.32e-06,0.193,0.267,100.041
False,190427,0.659,0.646,1,-4.518,0,0.0309,0.0,0.116,0.542,97.0
True,212107,0.493,0.796,11,-3.971,1,0.39,0.0,0.0957,0.644,159.988
True,244340,0.831,0.514,7,-6.695,1,0.203,0.000156,0.115,0.397,114.94
True,260620,0.621,0.74,8,-4.989,1,0.0112,0.000161,0.0779,0.319,124.996
False,216177,0.585,0.426,2,-8.367,0,0.45,0.000129,0.187,0.312,75.925
True,206960,0.42,0.843,9,-4.231,0,0.0519,0.0,0.106,0.491,173.827
True,205453,0.588,0.408,3,-8.662,1,0.113,0.0,0.13,0.484,85.008
False,191796,0.589,0.744,11,-4.617,1,0.0462,0.0,0.115,0.649,83.085
True,190960,0.759,0.54,9,-6.039,0,0.037,0.0,0.0945,0.75,116.947
True,250558,0.597,0.545,8,-6.956,1,0.339,0.0,0.107,0.344,134.043
True,178000,0.736,0.585,7,-6.769,1,0.513,2.02e-05,0.108,0.28,100.609
False,211696,0.396,0.292,5,-10.348,1,0.245,0.0,0.173,0.316,95.16
True,349385,0.637,0.597,4,-10.179,1,0.393,6.84e-05,0.0986,0.0363,129.574
False,245187,0.46,0.737,11,-5.332,0,0.591,0.0,0.0811,0.382,104.715
True,277264,0.688,0.536,1,-15.598,1,0.93,2.06e-05,0.12,0.363,95.087
True,139227,0.856,0.695,8,-7.179,1,0.145,0.0,0.0599,0.375,113.007
False,221880,0.626,0.491,5,-8.052,0,0.464,0.0,0.0939,0.356,153.013
False,172253,0.628,0.757,7,-3.561,1,0.113,0.0,0.263,0.727,96.016
False,221307,0.359,0.543,7,-7.582,1,0.492,1.58e-05,0.118,0.453,68.534
False,273213,0.566,0.632,0,-7.733,0,0.0713,0.0,0.325,0.317,78.768
False,219200,0.649,0.795,7,-5.337,1,0.059,0.0,0.132,0.915,160.061
True,263647,0.749,0.66,7,-6.143,1,0.558,0.0,0.133,0.542,123.96
True,173800,0.56,0.68,6,-7.648,0,0.555,0.0,0.116,0.319,89.391
False,231699,0.836,0.718,2,-5.441,0,0.412,0.0,0.152,0.481,109.975
True,195075,0.592,0.588,10,-4.889,1,0.118,0.0,0.138,0.336,81.997
False,285720,0.368,0.691,2,-6.837,1,0.142,0.0,0.128,0.675,74.456
True,150333,0.514,0.618,11,-4.585,0,0.175,0.0,0.117,0.401,84.259
True,188500,0.695,0.435,4,-5.995,0,0.373,0.0,0.251,0.373,120.033
True,303133,0.678,0.556,0,-7.423,1,0.0904,0.0334,0.0866,0.405,85.158
False,333533,0.623,0.684,5,-10.592,1,0.0169,0.000814,0.482,0.293,87.968
False,184060,0.689,0.412,7,-7.523,0,0.488,0.00016,0.0659,0.537,126.754
True,228042,0.743,0.651,8,-4.452,0,0.0316,1.83e-05,0.0942,0.511,137.184
False,204397,0.696,0.91,5,-2.675,0,0.101,0.0,0.629,0.605,144.976
True,158900,0.759,0.605,7,-7.737,1,0.156,0.0,0.694,0.64,121.049
True,229880,0.65,0.943,11,-4.751,1,0.0171,0.0,0.15,0.8,126.008
