acousticness,danceability,energy,instrumentalness,key,liked,liveness,loudness,mode,tempo,valence
0.225,0.591,0.702,0.0,7,True,0.414,-5.59,1,104.003,0.501
0.151,0.711,0.682,0.0,9,True,0.0669,-5.073,0,89.015,0.466
0.129,0.881,0.697,1.39e-06,0,True,0.0834,-5.613,1,97.012,0.434
0.609,0.464,0.464,0.0,9,True,0.106,-7.027,0,180.235,0.335
0.31,0.729,0.651,2.46e-05,3,True,0.124,-6.444,0,95.948,0.361
0.145,0.856,0.695,0.0,8,True,0.0599,-7.179,1,113.007,0.375
0.558,0.749,0.66,0.0,7,True,0.133,-6.143,1,123.96,0.542
0.412,0.836,0.718,0.0,2,False,0.152,-5.441,0,109.975,0.481
0.373,0.695,0.435,0.0,4,True,0.251,-5.995,0,120.033,0.373
0.176,0.515,0.59,2.47e-06,2,True,0.141,-6.761,0,99.785,0.374
0.319,0.646,0.371,0.0,1,True,0.218,-8.645,0,81.096,0.24
0.0445,0.712,0.792,0.0,1,True,0.27,-5.24,1,94.077,0.383
0.0134,0.604,0.839,0.0,11,True,0.153,-5.583,1,178.024,0.469
0.113,0.517,0.537,1.38e-06,8,True,0.0913,-8.707,0,112.046,0.181
0.313,0.633,0.754,0.0,5,False,0.109,-6.096,0,185.938,0.419
0.418,0.648,0.67,0.0,6,True,0.143,-4.918,0,83.244,0.723
0.0182,0.822,0.575,4.45e-05,6,True,0.109,-4.587,0,110.028,0.286
0.143,0.675,0.847,0.0,11,True,0.157,-4.011,0,120.959,0.207
0.0641,0.705,0.723,1.06e-05,6,True,0.458,-5.177,0,98.058,0.378
0.0663,0.588,0.722,0.0,6,True,0.0721,-4.667,1,145.931,0.243
0.0183,0.455,0.897,0.0,9,True,0.174,-4.879,1,160.139,0.728
0.472,0.54,0.557,0.0,4,False,0.308,-4.858,1,88.954,0.426
0.352,0.677,0.577,0.0389,2,False,0.148,-7.955,1,104.711,0.166
0.836,0.812,0.339,7.43e-05,6,False,0.0812,-10.73,0,127.961,0.241
0.14,0.692,0.758,0.0314,5,True,0.0928,-4.826,1,84.42,0.241
0.445,0.722,0.731,6.19e-06,11,True,0.15,-7.461,0,114.997,0.539
0.472,0.55,0.775,0.000343,11,True,0.145,-4.806,0,114.123,0.409
0.0519,0.828,0.686,2.23e-06,2,True,0.11,-5.242,1,156.033,0.544
9.34e-05,0.591,0.859,0.00196,7,True,0.218,-4.859,1,171.747,0.513
0.605,0.422,0.791,0.0,5,False,0.132,-4.997,0,130.531,0.734
0.784,0.485,0.332,0.000122,4,True,0.146,-9.244,1,130.813,0.273
0.607,0.671,0.763,2.16e-05,8,True,0.495,-5.877,1,149.87,0.469
0.397,0.645,0.636,1.49e-06,5,True,0.0818,-6.128,0,101.933,0.897
0.394,0.584,0.655,2e-05,0,False,0.0944,-5.591,0,98.008,0.539
0.108,0.548,0.742,0.0,1,True,0.0852,-4.757,1,143.966,0.352
0.44,0.712,0.496,0.0,6,True,0.186,-6.061,1,141.212,0.638
0.176,0.748,0.715,0.0,10,True,0.0965,-6.037,0,96.954,0.314
0.146,0.592,0.572,0.000172,5,False,0.115,-8.974,0,164.08,0.315
0.0202,0.637,0.661,0.0,8,True,0.369,-7.44,1,91.051,0.362
0.455,0.679,0.572,2.41e-06,5,True,0.127,-6.703,1,92.859,0.542
0.154,0.638,0.561,0.0,1,True,0.0814,-8.473,1,139.954,0.399
0.0151,0.831,0.775,7.64e-05,6,False,0.104,-6.668,0,111.964,0.44
0.2,0.792,0.676,0.0,5,True,0.187,-5.946,0,137.964,0.433
0.374,0.92,0.76,0.0,0,True,0.101,-6.154,1,93.968,0.723
0.0466,0.709,0.571,0.0,9,True,0.106,-7.617,1,93.957,0.51
0.29,0.747,0.408,0.0,2,True,0.0721,-8.141,1,145.728,0.666
0.15,0.477,0.67,0.0,5,True,0.37,-5.394,0,93.029,0.115
0.37,0.77,0.723,1.17e-06,11,True,0.103,-7.349,1,142.059,0.678
0.0843,0.64,0.7,0.0,1,True,0.222,-4.912,1,168.012,0.737
0.000171,0.641,0.84,0.00179,0,True,0.109,-6.044,1,112.99,0.545
0.492,0.657,0.625,0.0,4,True,0.155,-8.097,1,73.999,0.504
0.097,0.538,0.755,0.0,9,True,0.11,-5.22,1,169.811,0.697
0.0187,0.535,0.777,1.62e-06,4,True,0.136,-3.292,1,171.72,0.664
0.0896,0.716,0.718,0.0,0,True,0.473,-5.355,1,100.934,0.537
0.443,0.774,0.45,3.28e-05,11,True,0.127,-6.86,1,90.055,0.648
0.248,0.604,0.674,1.25e-06,4,False,0.1,-5.934,0,116.932,0.209
